delayB,RTT ratio,A-D goodput,B-D goodput,(RTT ratio)2,goodput ratio
25.000000,11769,15148,1.227273,1.506198,0.776934
26.000000,13664,12894,1.236364,1.528595,1.059718
27.000000,14114,12768,1.245455,1.551157,1.105420
28.000000,14216,12913,1.254545,1.573884,1.100906
29.000000,13415,13262,1.263636,1.596777,1.011537
30.000000,14000,12420,1.272727,1.619835,1.127214
31.000000,13886,12227,1.281818,1.643058,1.135683
32.000000,15423,10833,1.290909,1.666446,1.423705
33.000000,15450,11516,1.300000,1.690000,1.341612
34.000000,13427,13539,1.309091,1.713719,0.991728
35.000000,14623,12492,1.318182,1.737603,1.170589
36.000000,14034,12555,1.327273,1.761653,1.117802
37.000000,15233,11205,1.336364,1.785868,1.359482
38.000000,13766,12405,1.345455,1.810248,1.109714
39.000000,12369,13839,1.354545,1.834793,0.893778
40.000000,14963,11985,1.363636,1.859504,1.248477
41.000000,14675,12045,1.372727,1.884380,1.218348
42.000000,15019,11776,1.381818,1.909421,1.275391
43.000000,14892,11949,1.390909,1.934628,1.246297
44.000000,14426,11420,1.400000,1.960000,1.263222
45.000000,14077,12861,1.409091,1.985537,1.094549
46.000000,14927,12122,1.418182,2.011240,1.231397
47.000000,16100,10236,1.427273,2.037107,1.572880
48.000000,15743,10555,1.436364,2.063140,1.491521
49.000000,14642,11903,1.445455,2.089339,1.230110
50.000000,15527,10696,1.454545,2.115702,1.451664
51.000000,15719,11249,1.463636,2.142231,1.397369
52.000000,17149,9883,1.472727,2.168926,1.735202
53.000000,15806,11139,1.481818,2.195785,1.418978
54.000000,13663,13070,1.490909,2.222810,1.045371
55.000000,16010,11176,1.500000,2.250000,1.432534
