delayB,overhead ,recv0,recv1,rttratio,rttratio2,actualratio,ratio1,ratio2
25.000000,0.000000,28939,61174,1.227273,1.506198,0.473060,0.385457,0.314076
26.000000,0.000000,47000,41877,1.236364,1.528595,1.122334,0.907771,0.734226
27.000000,0.000000,38486,50540,1.245455,1.551157,0.761496,0.611420,0.490921
28.000000,0.000000,41454,46375,1.254545,1.573884,0.893887,0.712518,0.567949
29.000000,0.000000,37564,50239,1.263636,1.596777,0.747706,0.591710,0.468260
30.000000,0.000000,47062,41105,1.272727,1.619835,1.144922,0.899581,0.706814
31.000000,0.000000,40304,47474,1.281818,1.643058,0.848970,0.662317,0.516701
32.000000,0.000000,40912,48202,1.290909,1.666446,0.848761,0.657491,0.509324
33.000000,0.000000,44433,43623,1.300000,1.690000,1.018568,0.783514,0.602703
34.000000,0.000000,34889,52530,1.309091,1.713719,0.664173,0.507354,0.387562
35.000000,0.000000,45182,43310,1.318182,1.737603,1.043223,0.791411,0.600381
36.000000,0.000000,46838,41694,1.327273,1.761653,1.123375,0.846378,0.637682
37.000000,0.000000,41187,47321,1.336364,1.785868,0.870375,0.651301,0.487368
38.000000,0.000000,45116,41645,1.345455,1.810248,1.083347,0.805191,0.598452
39.000000,0.000000,38309,49594,1.354545,1.834793,0.772452,0.570267,0.421002
40.000000,0.000000,54407,33515,1.363636,1.859504,1.623363,1.190466,0.873008
41.000000,0.000000,46225,40474,1.372727,1.884380,1.142091,0.831987,0.606083
42.000000,0.000000,41682,46384,1.381818,1.909421,0.898629,0.650324,0.470629
43.000000,0.000000,44052,44199,1.390909,1.934628,0.996674,0.716563,0.515176
44.000000,0.000000,39378,48244,1.400000,1.960000,0.816226,0.583018,0.416442
45.000000,0.000000,56194,31561,1.409091,1.985537,1.780489,1.263573,0.896729
46.000000,0.000000,45421,42306,1.418182,2.011240,1.073630,0.757047,0.533815
47.000000,0.000000,43740,44284,1.427273,2.037107,0.987716,0.692030,0.484862
48.000000,0.000000,46249,40594,1.436364,2.063140,1.139306,0.793188,0.552219
49.000000,0.000000,40620,47390,1.445455,2.089339,0.857143,0.592992,0.410246
50.000000,0.000000,56014,31352,1.454545,2.115702,1.786616,1.228299,0.844455
51.000000,0.000000,44648,42220,1.463636,2.142231,1.057508,0.722521,0.493648
52.000000,0.000000,44663,44165,1.472727,2.168926,1.011276,0.686669,0.466257
53.000000,0.000000,49448,38307,1.481818,2.195785,1.290835,0.871115,0.587869
54.000000,0.000000,42550,44840,1.490909,2.222810,0.948930,0.636477,0.426905
55.000000,0.000000,56353,30754,1.500000,2.250000,1.832380,1.221586,0.814391
